,name,unit,per_unit_value,brand,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,slug,sku,delivery_time,status,enable_stock,current_stock,description,shipping_charge,image1,image2,image3,image4,image5,image6
sevendaysnotes,Sevendays Dhaka Canvas Tote Bag,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,291,350,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Chelela Pass Bhutan Notebook SN201903102,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,249,300,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Happy Birthday Notebook SN202010124,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,100,120,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Happy Birthday Notebook with Badge SN202010124,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,125,150,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Happy Birthday Notebook with Pencil SN202010124,Piece,1,deshi-bazaar-book's-collections,home-&-decor,stationery-and-craft,,125,150,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Cannabis Series Black Leaf Notebook SN20201125,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,66,80,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Cannabis Series Green Leaf Notebook SN20201125,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,66,80,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Cannabis Series Brown Leaf Notebook SN20201125,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,66,80,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Cannabis Series Green Leaf & Brown Leaf Notebook SN20201125 2-Pack ,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,133,160,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Cannabis Series Green Leaf & Black Leaf Notebook SN20201125 2-Pack ,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,133,160,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Cannabis Series Black Leaf & Brown Leaf Notebook SN20201125 2-Pack ,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,133,160,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Cannabis Series Black Green & Brown Leaf Notebook SN20201125 3-Pack,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,199,240,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,News Cover Series Workbook Grey Notebook SN20201126,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,66,80,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,News Cover Series Workbook Silver Notebook SN20201126,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,66,80,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
